host_is_superhost,latitude,longitude,accommodates,bedrooms,price,review_scores_value,instant_bookable,entire_apt,bathrooms,single_letting,over_ten_lettings
True,51.52738,0.00964,3,1,50.0,4.8,False,True,1.0,True,False
True,51.65075,-0.11841,3,1,35.0,4.9,False,False,1.5,False,False
True,51.41847,-0.12583,2,1,29.0,4.75,True,False,1.5,False,False
False,51.5435,0.05856,2,1,175.0,,False,False,1.5,True,False
False,51.50137,-0.06898,4,2,125.0,4.5,True,True,2.0,True,False
False,51.53232,-0.00862,6,2,300.0,,False,True,1.0,True,False
False,51.53805,-0.08485,3,1,80.0,4.68,False,True,1.0,True,False
False,51.48464,-0.18231,4,2,155.0,4.64,False,True,2.5,True,False
False,51.49962,0.03246,2,1,135.0,5.0,False,False,1.0,False,False
False,51.54832,-0.18374,4,1,368.0,,False,False,1.5,True,False
False,51.44173,-0.13803,6,3,180.0,4.81,False,True,1.0,False,False
False,51.54254,0.00881,2,1,100.0,,False,False,2.0,True,False
True,51.54372,-0.14685,4,1,49.0,4.88,False,False,1.5,False,False
True,51.54236,-0.14495,9,3,357.0,4.65,False,True,1.0,False,False
False,51.52804,-0.06444,2,1,175.0,4.69,False,True,1.0,True,False
False,51.60986,-0.01928,2,1,45.0,5.0,False,False,1.0,True,False
False,51.61707,-0.14813,2,1,50.0,4.83,False,False,1.5,False,False
True,51.52867,-0.09961,1,1,45.0,4.78,False,False,1.0,True,False
False,51.56756,-0.10637,6,3,240.0,4.61,True,True,1.5,True,False
True,51.53555,-0.11739,2,1,61.0,4.9,True,False,1.0,False,False
True,51.45371,-0.11009,2,1,32.0,4.7,False,False,0.0,True,False
False,51.54472,-0.10965,1,1,55.0,4.83,False,False,1.0,False,False
True,51.49117,-0.18766,4,2,171.0,4.49,False,True,1.0,True,False
False,51.46174,-0.01652,2,1,29.0,4.86,True,False,1.0,True,False
False,51.52975,-0.2156,2,1,42.0,4.6,False,False,1.0,True,False
False,51.53024,-0.08936,4,2,55.0,,False,True,1.0,True,False
True,51.52847,-0.04278,4,2,195.0,4.56,False,True,1.0,True,False
True,51.5988,-0.09738,1,1,25.0,4.8,False,False,1.5,True,False
False,51.52776,-0.08271,4,2,120.0,4.63,False,True,1.0,True,False
True,51.49985,-0.0827,4,2,110.0,4.68,False,True,1.0,False,False
True,51.5046,-0.14886,2,1,100.0,4.86,False,False,1.0,True,False
True,51.39335,0.11933,2,1,25.0,4.67,True,False,1.0,True,False
True,51.60058,-0.11469,2,1,47.0,4.94,False,False,1.0,True,False
False,51.54145,-0.08834,2,1,120.0,,False,False,1.0,True,False
False,51.42681,0.00684,2,1,87.0,,False,False,1.0,True,False
False,51.42875,0.00864,2,1,86.0,,False,False,1.0,True,False
False,51.54941,-0.18289,2,1,90.0,4.42,False,True,1.0,True,False
False,51.48621,-0.12126,4,1,98.0,4.87,False,True,1.0,True,False
False,51.5834,0.02849,2,2,85.0,4.64,False,True,1.0,True,False
False,51.56672,-0.08441,4,2,150.0,4.88,False,True,1.0,True,False
False,51.51882,-0.14108,1,1,71.0,4.72,True,False,1.0,True,False
False,51.48864,-0.21614,3,2,65.0,4.88,False,False,1.0,True,False
True,51.44156,-0.13293,1,1,27.0,4.67,False,False,1.5,False,False
False,51.52899,-0.03612,4,1,100.0,4.8,False,True,1.0,True,False
False,51.4214,-0.16378,5,2,80.0,4.5,False,True,1.0,True,False
False,51.5007,-0.11516,2,1,53.0,4.36,False,False,1.0,False,False
False,51.50146,-0.24997,2,1,76.0,4.88,False,True,1.5,True,False
True,51.4041,-0.25129,4,1,80.0,4.72,False,True,1.0,True,False
False,51.59859,-0.00736,2,1,45.0,4.82,False,False,1.0,True,False
True,51.49903,-0.13648,3,1,130.0,4.8,False,True,1.0,False,False
False,51.42533,-0.16834,2,1,36.0,,False,False,1.0,True,False
False,51.42484,-0.16602,3,2,120.0,,False,True,1.0,True,False
True,51.48143,-0.26897,2,1,114.0,4.71,False,True,1.0,True,False
True,51.55301,-0.07762,2,1,49.0,4.74,True,False,1.0,True,False
True,51.48394,-0.19872,4,2,88.0,4.72,False,True,1.0,True,False
False,51.55508,-0.05801,7,4,150.0,4.83,False,True,1.5,False,False
False,51.45791,-0.32225,6,2,186.0,4.63,True,True,2.0,True,False
False,51.54036,-0.08834,2,1,49.0,4.78,False,False,1.5,False,False
False,51.54966,-0.22342,2,1,30.0,4.91,False,False,1.0,True,False
False,51.4875,-0.19608,4,2,143.0,4.64,True,True,1.5,True,False
False,51.4435,-0.1294,3,1,70.0,4.72,False,False,2.0,False,False
False,51.55779,-0.01098,2,1,50.0,4.0,True,False,2.0,False,False
False,51.45045,-0.12258,2,1,70.0,4.76,False,False,2.0,False,False
False,51.44739,-0.12319,2,1,65.0,4.81,False,False,2.0,False,False
True,51.53547,-0.05543,1,1,29.0,4.91,False,False,1.0,True,False
True,51.50372,-0.22123,4,1,120.0,4.49,False,True,1.0,True,False
False,51.54146,-0.13735,5,1,143.0,4.31,False,True,1.0,True,False
False,51.55623,-0.07596,4,2,294.0,,False,True,1.0,True,False
False,51.48703,-0.36676,1,1,35.0,4.8,True,False,1.0,True,False
True,51.42863,-0.34688,2,1,38.0,4.84,False,False,1.0,True,False
False,51.56038,-0.06448,2,1,65.0,4.0,False,False,1.0,True,False
False,51.52668,-0.05811,2,1,34.0,4.68,True,False,1.0,True,False
False,51.53723,-0.11254,2,1,122.0,,False,False,1.0,False,False
False,51.50331,-0.24071,1,1,30.0,4.68,False,False,1.0,True,False
False,51.5033,-0.24057,1,1,35.0,4.59,False,False,1.0,True,False
False,51.48571,-0.36661,1,1,44.0,1.0,True,False,1.0,True,False
True,51.5178,-0.2009,3,1,85.0,4.62,False,True,1.0,True,False
False,51.61587,0.0468,2,1,50.0,,True,False,1.0,False,False
False,51.42732,-0.19866,1,1,50.0,4.47,False,False,1.0,True,False
False,51.45958,-0.10774,2,1,51.0,4.5,False,False,1.0,True,False
False,51.60525,-0.14453,1,1,23.0,4.65,False,False,1.0,True,False
False,51.39878,-0.19798,1,1,12.0,4.94,False,False,1.0,True,False
False,51.56108,-0.07883,7,4,155.0,4.58,False,True,2.0,True,False
False,51.48582,-0.27241,2,1,65.0,4.58,False,False,1.0,True,False
False,51.59075,0.08111,2,1,150.0,,False,False,1.0,True,False
False,51.51127,-0.03934,1,1,29.0,4.95,False,False,1.0,True,False
False,51.53707,-0.19483,2,1,76.0,4.79,True,False,1.0,True,False
False,51.58178,-0.01382,1,1,28.0,,False,False,1.0,True,False
False,51.59707,-0.10448,2,1,48.0,4.71,False,False,1.0,True,False
